conf_thr,entropy_thr,escalation_rate,fastpath_acc,fastpath_n,dang_caught,dang_leaked,esc_acc
0.5,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.5,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.5,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.5,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.5,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.5,0.35,0.303840877914952,0.9261083743842364,1015,0.59,41,0.6162528216704289
0.5,0.4,0.2599451303155007,0.917516218721038,1079,0.53,47,0.5883905013192612
0.5,0.45,0.205761316872428,0.8998272884283247,1158,0.44,56,0.57
0.5,0.5,0.18175582990397804,0.8960603520536463,1193,0.42,58,0.5433962264150943
0.5,0.55,0.14266117969821673,0.8856,1250,0.34,66,0.5096153846153846
0.5,0.6,0.11591220850480109,0.8789759503491078,1289,0.3,70,0.47337278106508873
0.55,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.55,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.55,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.55,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.55,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.55,0.35,0.303840877914952,0.9261083743842364,1015,0.59,41,0.6162528216704289
0.55,0.4,0.2599451303155007,0.917516218721038,1079,0.53,47,0.5883905013192612
0.55,0.45,0.205761316872428,0.8998272884283247,1158,0.44,56,0.57
0.55,0.5,0.18381344307270234,0.8966386554621849,1190,0.42,58,0.5447761194029851
0.55,0.55,0.14609053497942387,0.8859437751004016,1245,0.34,66,0.5164319248826291
0.55,0.6,0.12345679012345678,0.878716744913928,1278,0.3,70,0.5
0.6,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.6,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.6,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.6,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.6,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.6,0.35,0.303840877914952,0.9261083743842364,1015,0.59,41,0.6162528216704289
0.6,0.4,0.2599451303155007,0.917516218721038,1079,0.53,47,0.5883905013192612
0.6,0.45,0.20781893004115226,0.9021645021645022,1155,0.44,56,0.5643564356435643
0.6,0.5,0.1858710562414266,0.8989048020219039,1187,0.42,58,0.5387453874538746
0.6,0.55,0.1522633744855967,0.8883495145631068,1236,0.35,65,0.5180180180180181
0.6,0.6,0.13854595336076816,0.8853503184713376,1256,0.32,68,0.5
0.65,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.65,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.65,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.65,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.65,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.65,0.35,0.303840877914952,0.9261083743842364,1015,0.59,41,0.6162528216704289
0.65,0.4,0.2606310013717421,0.9174397031539888,1078,0.53,47,0.5894736842105263
0.65,0.45,0.21193415637860083,0.9051348999129678,1149,0.46,54,0.5598705501618123
0.65,0.5,0.19204389574759945,0.902376910016978,1178,0.45,55,0.5357142857142857
0.65,0.55,0.16598079561042525,0.8939144736842105,1216,0.38,62,0.5206611570247934
0.65,0.6,0.15569272976680384,0.8919577579203899,1231,0.36,64,0.5066079295154186
0.7,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.7,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.7,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.7,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.7,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.7,0.35,0.303840877914952,0.9261083743842364,1015,0.59,41,0.6162528216704289
0.7,0.4,0.2613168724279835,0.9182915506035283,1077,0.54,46,0.5879265091863517
0.7,0.45,0.2167352537722908,0.9080560420315237,1142,0.48,52,0.5569620253164557
0.7,0.5,0.20027434842249658,0.9048027444253859,1166,0.47,53,0.541095890410959
0.7,0.55,0.18792866941015088,0.9011824324324325,1184,0.44,56,0.5328467153284672
0.7,0.6,0.18792866941015088,0.9011824324324325,1184,0.44,56,0.5328467153284672
0.75,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.75,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.75,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.75,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.75,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
0.75,0.35,0.3052126200274348,0.9279368213228035,1013,0.59,41,0.6134831460674157
0.75,0.4,0.26474622770919065,0.9197761194029851,1072,0.54,46,0.5880829015544041
0.75,0.45,0.22976680384087791,0.9136242208370436,1123,0.5,50,0.5582089552238806
0.75,0.5,0.22290809327846364,0.911738746690203,1133,0.49,51,0.5538461538461539
0.75,0.55,0.2222222222222222,0.9118165784832452,1134,0.49,51,0.5524691358024691
0.75,0.6,0.2222222222222222,0.9118165784832452,1134,0.49,51,0.5524691358024691
0.8,0.1,0.901920438957476,0.9230769230769231,143,0.94,6,0.8220532319391635
0.8,0.15,0.7914951989026063,0.930921052631579,304,0.88,12,0.8058925476603119
0.8,0.2,0.6172839506172839,0.9390681003584229,558,0.81,19,0.7655555555555555
0.8,0.25,0.46296296296296297,0.9374201787994891,783,0.73,27,0.7096296296296296
0.8,0.3,0.3710562414266118,0.9367502726281353,917,0.67,33,0.6543438077634011
